Epoch,0,1,2,3,4
1,0,2514,0,0,0,0
1,1,195,0,0,0,0
1,2,160,0,0,0,0
1,3,134,0,0,0,0
1,4,69,0,0,0,0
2,0,2514,0,0,0,0
2,1,195,0,0,0,0
2,2,160,0,0,0,0
2,3,134,0,0,0,0
2,4,69,0,0,0,0
3,0,2503,0,11,0,0
3,1,183,0,12,0,0
3,2,144,0,16,0,0
3,3,124,0,10,0,0
3,4,64,0,5,0,0
4,0,2453,15,46,0,0
4,1,151,10,34,0,0
4,2,126,3,31,0,0
4,3,108,3,23,0,0
4,4,54,2,13,0,0
5,0,2442,27,45,0,0
5,1,145,15,35,0,0
5,2,117,13,30,0,0
5,3,105,6,23,0,0
5,4,52,4,13,0,0
6,0,2390,98,26,0,0
6,1,119,54,22,0,0
6,2,95,53,12,0,0
6,3,90,33,11,0,0
6,4,40,19,10,0,0
7,0,2385,125,4,0,0
7,1,114,76,5,0,0
7,2,89,69,2,0,0
7,3,86,45,3,0,0
7,4,38,28,3,0,0
8,0,2383,131,0,0,0
8,1,111,84,0,0,0
8,2,89,71,0,0,0
8,3,85,49,0,0,0
8,4,37,32,0,0,0
9,0,2367,147,0,0,0
9,1,101,94,0,0,0
9,2,85,75,0,0,0
9,3,74,60,0,0,0
9,4,34,35,0,0,0
10,0,2364,150,0,0,0
10,1,87,108,0,0,0
10,2,82,78,0,0,0
10,3,71,63,0,0,0
10,4,33,36,0,0,0
11,0,2359,155,0,0,0
11,1,84,111,0,0,0
11,2,82,78,0,0,0
11,3,71,63,0,0,0
11,4,26,43,0,0,0
12,0,2362,152,0,0,0
12,1,86,109,0,0,0
12,2,82,78,0,0,0
12,3,72,62,0,0,0
12,4,28,41,0,0,0
13,0,2365,149,0,0,0
13,1,91,104,0,0,0
13,2,83,77,0,0,0
13,3,72,62,0,0,0
13,4,31,38,0,0,0
14,0,2365,149,0,0,0
14,1,94,101,0,0,0
14,2,83,77,0,0,0
14,3,73,61,0,0,0
14,4,33,36,0,0,0
15,0,2366,148,0,0,0
15,1,95,100,0,0,0
15,2,83,77,0,0,0
15,3,73,61,0,0,0
15,4,33,36,0,0,0
16,0,2375,139,0,0,0
16,1,105,90,0,0,0
16,2,88,72,0,0,0
16,3,81,53,0,0,0
16,4,35,34,0,0,0
17,0,2379,135,0,0,0
17,1,105,90,0,0,0
17,2,89,71,0,0,0
17,3,82,52,0,0,0
17,4,36,33,0,0,0
18,0,2379,135,0,0,0
18,1,106,89,0,0,0
18,2,91,69,0,0,0
18,3,84,50,0,0,0
18,4,36,33,0,0,0
19,0,2382,132,0,0,0
19,1,115,80,0,0,0
19,2,94,66,0,0,0
19,3,88,46,0,0,0
19,4,41,28,0,0,0
20,0,2390,124,0,0,0
20,1,117,78,0,0,0
20,2,99,61,0,0,0
20,3,92,42,0,0,0
20,4,42,27,0,0,0
21,0,2389,125,0,0,0
21,1,118,77,0,0,0
21,2,100,60,0,0,0
21,3,91,43,0,0,0
21,4,42,27,0,0,0
22,0,2391,123,0,0,0
22,1,119,76,0,0,0
22,2,102,58,0,0,0
22,3,94,40,0,0,0
22,4,43,26,0,0,0
23,0,2396,118,0,0,0
23,1,127,68,0,0,0
23,2,105,55,0,0,0
23,3,98,36,0,0,0
23,4,46,23,0,0,0
24,0,2397,117,0,0,0
24,1,129,66,0,0,0
24,2,105,55,0,0,0
24,3,98,36,0,0,0
24,4,47,22,0,0,0
25,0,2400,114,0,0,0
25,1,131,64,0,0,0
25,2,109,51,0,0,0
25,3,99,35,0,0,0
25,4,48,21,0,0,0
26,0,2399,115,0,0,0
26,1,130,65,0,0,0
26,2,108,52,0,0,0
26,3,100,34,0,0,0
26,4,47,22,0,0,0
27,0,2405,109,0,0,0
27,1,137,58,0,0,0
27,2,109,51,0,0,0
27,3,104,30,0,0,0
27,4,48,21,0,0,0
28,0,2408,106,0,0,0
28,1,138,57,0,0,0
28,2,111,49,0,0,0
28,3,104,30,0,0,0
28,4,49,20,0,0,0
29,0,2405,109,0,0,0
29,1,137,58,0,0,0
29,2,109,51,0,0,0
29,3,105,29,0,0,0
29,4,49,20,0,0,0
30,0,2402,112,0,0,0
30,1,134,61,0,0,0
30,2,108,52,0,0,0
30,3,105,29,0,0,0
30,4,49,20,0,0,0
31,0,2401,113,0,0,0
31,1,135,60,0,0,0
31,2,109,51,0,0,0
31,3,103,31,0,0,0
31,4,49,20,0,0,0
32,0,2405,109,0,0,0
32,1,138,57,0,0,0
32,2,109,51,0,0,0
32,3,104,30,0,0,0
32,4,49,20,0,0,0
33,0,2405,109,0,0,0
33,1,138,57,0,0,0
33,2,110,50,0,0,0
33,3,104,30,0,0,0
33,4,49,20,0,0,0
34,0,2405,109,0,0,0
34,1,138,57,0,0,0
34,2,110,50,0,0,0
34,3,104,30,0,0,0
34,4,49,20,0,0,0
35,0,2405,109,0,0,0
35,1,138,57,0,0,0
35,2,110,50,0,0,0
35,3,104,30,0,0,0
35,4,49,20,0,0,0
36,0,2418,96,0,0,0
36,1,144,51,0,0,0
36,2,114,46,0,0,0
36,3,109,25,0,0,0
36,4,55,14,0,0,0
37,0,2408,106,0,0,0
37,1,140,55,0,0,0
37,2,110,50,0,0,0
37,3,106,28,0,0,0
37,4,51,18,0,0,0
38,0,2423,91,0,0,0
38,1,147,48,0,0,0
38,2,115,45,0,0,0
38,3,108,26,0,0,0
38,4,55,14,0,0,0
39,0,2418,96,0,0,0
39,1,143,52,0,0,0
39,2,112,48,0,0,0
39,3,109,25,0,0,0
39,4,53,16,0,0,0
40,0,2426,88,0,0,0
40,1,151,44,0,0,0
40,2,121,39,0,0,0
40,3,111,23,0,0,0
40,4,56,13,0,0,0
41,0,2433,81,0,0,0
41,1,156,39,0,0,0
41,2,119,41,0,0,0
41,3,112,22,0,0,0
41,4,55,14,0,0,0
42,0,2427,87,0,0,0
42,1,150,45,0,0,0
42,2,122,38,0,0,0
42,3,111,23,0,0,0
42,4,56,13,0,0,0
43,0,2439,75,0,0,0
43,1,159,36,0,0,0
43,2,124,36,0,0,0
43,3,117,17,0,0,0
43,4,57,12,0,0,0
44,0,2432,82,0,0,0
44,1,156,39,0,0,0
44,2,124,36,0,0,0
44,3,115,19,0,0,0
44,4,54,15,0,0,0
45,0,2454,60,0,0,0
45,1,170,25,0,0,0
45,2,134,26,0,0,0
45,3,123,11,0,0,0
45,4,59,10,0,0,0
46,0,2459,55,0,0,0
46,1,174,21,0,0,0
46,2,135,25,0,0,0
46,3,123,11,0,0,0
46,4,57,12,0,0,0
47,0,2463,51,0,0,0
47,1,175,20,0,0,0
47,2,137,23,0,0,0
47,3,123,11,0,0,0
47,4,59,10,0,0,0
48,0,2455,59,0,0,0
48,1,176,19,0,0,0
48,2,138,22,0,0,0
48,3,124,10,0,0,0
48,4,59,10,0,0,0
49,0,2450,64,0,0,0
49,1,170,25,0,0,0
49,2,136,24,0,0,0
49,3,126,8,0,0,0
49,4,56,13,0,0,0
50,0,2454,60,0,0,0
50,1,174,21,0,0,0
50,2,141,19,0,0,0
50,3,124,10,0,0,0
50,4,59,10,0,0,0
